id,strategy,average,average low CI,average high CI,difference,difference low CI,difference high CI,loyalty,loyalty low CI,loyalty high CI
2,homophily,4.499533333,4.419753049,4.579313618,1.128033333,1.09590519,1.160161477,2.385569954,2.214642441,2.556497467
3,homophily,2.571766667,2.483589335,2.659943998,0.9055,0.884051557,0.926948443,3.352561897,2.640574643,4.06454915
4,homophily,4.666166667,4.584106312,4.748227021,1.154066667,1.125136814,1.182996519,2.385485314,2.187179468,2.58379116
6,homophily,4.477716667,4.387576576,4.567856757,1.26365,1.225023714,1.302276286,2.175987605,2.054307604,2.297667607
8,homophily,5.7821,5.69574647,5.86845353,1.067366667,1.042047694,1.09268564,2.827678767,2.515826007,3.139531526
9,homophily,4.028933333,3.93469419,4.123172477,1.2707,1.23713204,1.30426796,2.326834831,2.158900001,2.494769661
10,homophily,5.804183333,5.729805689,5.878560977,0.91775,0.892799867,0.942700133,2.841032853,2.501686357,3.180379349
12,homophily,4.242083333,4.16639174,4.317774926,0.94925,0.924837669,0.973662331,2.797903453,2.424261069,3.171545836
13,homophily,6.000633333,5.924144031,6.077122636,1.023033333,0.985718159,1.060348508,2.718041901,2.414596289,3.021487513
14,homophily,6.417083333,6.332580996,6.501585671,1.197316667,1.157500857,1.237132476,2.896645971,2.49320284,3.300089101
16,homophily,5.106483333,5.020983953,5.191982714,1.165383333,1.137274172,1.193492494,2.59876654,2.333067001,2.864466079
17,homophily,5.1653,5.080510794,5.250089206,1.026533333,0.995641808,1.057424858,2.752415814,2.469869847,3.034961781
20,homophily,5.541983333,5.45126493,5.632701737,1.249816667,1.208148766,1.291484567,2.357601612,2.191193842,2.524009383
21,homophily,6.510866667,6.45460329,6.567130043,0.7669,0.738169773,0.795630227,4.058252469,2.458561969,5.657942969
22,homophily,5.280416667,5.207714618,5.353118715,0.956683333,0.929697292,0.983669375,2.851227836,2.50866117,3.193794503
23,homophily,4.54635,4.448397345,4.644302655,1.31655,1.28074246,1.35235754,2.236946323,2.10091913,2.372973516
24,homophily,4.526883333,4.434848685,4.618917981,1.193116667,1.145563565,1.240669768,2.340029372,2.177068777,2.502989967
26,homophily,5.4624375,5.357652199,5.567222801,0.8903125,0.851416389,0.929208611,2.9247969,2.449161015,3.400432786
27,homophily,4.562516667,4.475836212,4.649197122,1.074583333,1.040752985,1.108413682,2.632137067,2.352513662,2.911760472
28,homophily,5.262416667,5.171836369,5.352996964,1.113516667,1.084572215,1.142461119,2.37230162,2.176347575,2.568255664
29,homophily,3.51465,3.450937827,3.578362173,0.891616667,0.86424636,0.918986973,3.013336522,2.550842486,3.475830558
32,homophily,4.74345,4.646154211,4.840745789,1.31745,1.282209858,1.352690142,2.261166525,2.124934973,2.397398078
34,homophily,3.921533333,3.843704599,3.999362067,1.0811,1.050344309,1.111855691,2.585232053,2.336603225,2.83386088
35,homophily,5.343266667,5.262796262,5.423737071,0.951133333,0.92773454,0.974532127,2.863065316,2.487156417,3.238974215
36,homophily,5.166916667,5.088735111,5.245098222,1.010083333,0.980556491,1.039610175,2.652796569,2.421326741,2.884266396
37,homophily,5.3953,5.310090919,5.480509081,1.217333333,1.185979649,1.248687018,2.433769513,2.258464905,2.60907412
39,homophily,5.4479,5.37231471,5.52348529,1.0578,1.030870158,1.084729842,2.556550211,2.348468141,2.764632282
40,homophily,6.15955,6.078237946,6.240862054,1.112883333,1.085016777,1.14074989,2.836424799,2.48442257,3.188427028
41,homophily,4.327766667,4.238049603,4.417483731,1.219233333,1.186907334,1.251559332,2.354264777,2.178041737,2.530487817
42,homophily,3.389583333,3.324806218,3.454360449,1.00815,0.984661644,1.031638356,2.818210194,2.421409133,3.215011254
43,homophily,4.5353,4.441550981,4.629049019,1.197166667,1.165205001,1.229128332,2.323620187,2.169041408,2.478198965
44,homophily,6.74195,6.697479935,6.786420065,0.809516667,0.787453078,0.831580255,4.134612468,2.545915502,5.723309434
46,homophily,5.6772,5.598569931,5.755830069,1.254766667,1.226912778,1.282620556,2.59207682,2.338442381,2.845711258
47,homophily,4.788833333,4.704427512,4.873239154,0.905666667,0.877122316,0.934211018,2.925782875,2.560903532,3.290662217
48,homophily,5.534216667,5.466976585,5.601456748,1.04905,1.018378313,1.079721687,2.665966869,2.414375046,2.917558692
50,homophily,5.955216667,5.882883394,6.027549939,0.995383333,0.955804252,1.034962414,2.822713899,2.485140089,3.16028771
51,homophily,6.9132,6.862900555,6.963499445,0.9566,0.922029311,0.991170689,3.978372468,2.533597192,5.423147745
52,homophily,5.590816667,5.512017372,5.669615962,1.113383333,1.087917385,1.138849282,2.689868746,2.424491489,2.955246003
