subject_id,trial,condition,stimulus,subject_title,title_time,subject_rating,rating_time,a1_id,a1_name,a1_rating,a1_title,a2_id,a2_name,a2_rating,a2_title,a3_id,a3_name,a3_rating,a3_title,a4_id,a4_name,a4_rating,a4_title,a5_id,a5_name,a5_rating,a5_title,a6_id,a6_name,a6_rating,a6_title,selection_time_1,selection_time_2,selection_time_3,kept_1_loc,kept_1_id,kept_1_name,kept_1_rating,kept_1_title,kept_2_loc,kept_2_id,kept_2_name,kept_2_rating,kept_2_title,kept_3_loc,kept_3_id,kept_3_name,kept_3_rating,kept_3_title,elim_1_loc,elim_1_id,elim_1_name,elim_1_rating,elim_1_title,elim_2_loc,elim_2_id,elim_2_name,elim_2_rating,elim_2_title,elim_3_loc,elim_3_id,elim_3_name,elim_3_rating,elim_3_title
58,1,keep,5,That is sad and wrong,12.1858612353,4.0,3.62874338566,59,Katelyn,5.0,Confusion I what I am gleaning here as the detainee appears surprised that she is being detained. ,51,Natalie,6.0,"As a woman, This makes me scared.",47,Chelsea,6.0,This woman looks like she is upset and maybe in pain.,30,Katherine,2.0,Lady fighting with police officers.,40,Mary,3.0,I feel the person is victimized,49,Erin,1.0,"I feel like this arrest is going acceptably at this point, I don't feel the officiers or the arrested person are behaving too inappropriately at this time.",1.31265309959,1.76264853799,2.61270014138,4,30,Katherine,2.0,Lady fighting with police officers.,3,47,Chelsea,6.0,This woman looks like she is upset and maybe in pain.,1,59,Katelyn,5.0,Confusion I what I am gleaning here as the detainee appears surprised that she is being detained. ,2,51,Natalie,6.0,"As a woman, This makes me scared.",5,40,Mary,3.0,I feel the person is victimized,6,49,Erin,1.0,"I feel like this arrest is going acceptably at this point, I don't feel the officiers or the arrested person are behaving too inappropriately at this time."
58,2,keep,7,I want to know what is happening and if it is neccesary to be treating him like that. There should be a better way,28.5907550064,5.0,3.4866521075,59,Katelyn,6.0,"I feel despair in this pic, as an arrestee is being hauled away.",55,Andrea,2.0,My response is hope that the guy being dragged is ok.,47,Chelsea,4.0,That's a lot of cops to carry just one guy.,30,Katherine,3.0,Don't think they need to carry that boy like that.,7,Hannah,5.0,"I wonder why they are carrying this man away- its interesting that 2 of the cops in contact with him appear to be white, while two of the three black officers walking behind are not in any contact with him ",61,Gabrielle,8.0,It looks like this is overkill.,1.34651833773,2.16365694278,2.8472912485,1,59,Katelyn,6.0,"I feel despair in this pic, as an arrestee is being hauled away.",4,30,Katherine,3.0,Don't think they need to carry that boy like that.,5,7,Hannah,5.0,"I wonder why they are carrying this man away- its interesting that 2 of the cops in contact with him appear to be white, while two of the three black officers walking behind are not in any contact with him ",2,55,Andrea,2.0,My response is hope that the guy being dragged is ok.,3,47,Chelsea,4.0,That's a lot of cops to carry just one guy.,6,61,Gabrielle,8.0,It looks like this is overkill.
58,3,keep,11,It seems like this is unneccesary and sad,49.1951424368,6.0,1.58740933763,59,Katelyn,7.0,"I feel sadness in this pic, as the detainee is being held down and possibly experiencing pain, but most likely he is displaying anger.",54,Heather,5.0,I feel sad by seeing the pain in the mans eyes. ,37,Kimberly,9.0,Get your knee off him.,30,Katherine,4.0,That is a very large officer with his knee in that mans back.,7,Hannah,7.0,This image bothers me because it looks like the main is in pain due to this very large cop pressing his knee onto his back. ,20,Victoria,3.0,the police are doing a good job of keeping the suspect detained,1.48432339658,2.20170775929,3.08524969209,2,54,Heather,5.0,I feel sad by seeing the pain in the mans eyes. ,3,37,Kimberly,9.0,Get your knee off him.,6,20,Victoria,3.0,the police are doing a good job of keeping the suspect detained,1,59,Katelyn,7.0,"I feel sadness in this pic, as the detainee is being held down and possibly experiencing pain, but most likely he is displaying anger.",4,30,Katherine,4.0,That is a very large officer with his knee in that mans back.,5,7,Hannah,7.0,This image bothers me because it looks like the main is in pain due to this very large cop pressing his knee onto his back. 
58,4,keep,17,This appears to be violent. But it also looks like in this pic the detainee is resisting more,38.1762635708,4.0,1.87378375605,33,Kelsey,8.0,Person helpong to resist the other one needs to stop.,54,Heather,7.0,I feel sad because the guy is getting manhandled and choked by the other people.,37,Kimberly,9.0,This is messed up.,4,Samantha,2.0,are those guys in vests cops?,15,Lauren,3.0,It looks like an explosive situation.,20,Victoria,5.0,this looks very violent and hostile,1.12516450364,1.54223126307,2.40947050904,1,33,Kelsey,8.0,Person helpong to resist the other one needs to stop.,5,15,Lauren,3.0,It looks like an explosive situation.,3,37,Kimberly,9.0,This is messed up.,2,54,Heather,7.0,I feel sad because the guy is getting manhandled and choked by the other people.,4,4,Samantha,2.0,are those guys in vests cops?,6,20,Victoria,5.0,this looks very violent and hostile
58,5,keep,20,What happened? Why are they doing that to him?,19.479646873,4.0,3.43163431715,33,Kelsey,6.0,He appears in distress.,56,Laura,2.0,"I don't know the context here, but seems like police are acting appropriately",37,Kimberly,9.0,Poor man,38,Shelby,6.0,An african american male being arrested by a police officer,15,Lauren,5.0,This guy looks like he has a genuine problem.,29,Madison,1.0,I don't have any context about why this person is being held.,0.938743043516,1.33930783003,2.25678770186,2,56,Laura,2.0,"I don't know the context here, but seems like police are acting appropriately",3,37,Kimberly,9.0,Poor man,5,15,Lauren,5.0,This guy looks like he has a genuine problem.,1,33,Kelsey,6.0,He appears in distress.,4,38,Shelby,6.0,An african american male being arrested by a police officer,6,29,Madison,1.0,I don't have any context about why this person is being held.
58,6,keep,13,"I am curious to what they are doing here, is it really neccesary?",36.33175463,5.0,2.10646382632,16,Stephanie,3.0,Get the News teams out of there.,56,Laura,2.0,"In an escalated situation, police attempt to clear out person in the way",37,Kimberly,1.0,Why is the coast guard in this picture?,44,Maria,4.0,to much chaos going on,15,Lauren,3.0,Looks like a lot of effort put into one arrest.,60,Sierra,8.0,This looks like a case of police brutality,1.21011227305,1.82692130056,3.32777118875,2,56,Laura,2.0,"In an escalated situation, police attempt to clear out person in the way",3,37,Kimberly,1.0,Why is the coast guard in this picture?,6,60,Sierra,8.0,This looks like a case of police brutality,1,16,Stephanie,3.0,Get the News teams out of there.,4,44,Maria,4.0,to much chaos going on,5,15,Lauren,3.0,Looks like a lot of effort put into one arrest.
58,7,keep,15,Why are they hitting that man with the shields? Are they going to do the same to the woman behind him?,46.5495997171,5.0,2.16544738162,5,Sarah,5.0,no reason for the policeman to hit the man with a shield he wasn't doing anything but peacefully protesting,56,Laura,5.0,"Overreaction to police by peaceful, nonconfrontational protestor.",37,Kimberly,9.0,This is messed up.,1,Jessica,9.0,Unnecessary force.,8,Brittany,1.0,Disturbance causes cops to react.,60,Sierra,9.0,This looks like a form of police brutality.,2.21996567375,2.67029354075,3.27047885687,2,56,Laura,5.0,"Overreaction to police by peaceful, nonconfrontational protestor.",4,1,Jessica,9.0,Unnecessary force.,5,8,Brittany,1.0,Disturbance causes cops to react.,1,5,Sarah,5.0,no reason for the policeman to hit the man with a shield he wasn't doing anything but peacefully protesting,3,37,Kimberly,9.0,This is messed up.,6,60,Sierra,9.0,This looks like a form of police brutality.
58,8,keep,1,I want to know what this lady did? ,17.3403857996,3.0,1.70737615181,17,Courtney,5.0,She's just a protester.,56,Laura,1.0,Police seem to be performing as indicated here.,46,Tiffany,3.0,"This doesn't look exactly overboard, it looks like a rally or riot where people are being arrested. ",1,Jessica,3.0,Seems tame.,8,Brittany,1.0,Police arrest female.,39,Olivia,5.0,Protester letting her voice be heard as she's arrested. ,0.939954725851,1.6898016262,2.17379287927,3,46,Tiffany,3.0,"This doesn't look exactly overboard, it looks like a rally or riot where people are being arrested. ",1,17,Courtney,5.0,She's just a protester.,6,39,Olivia,5.0,Protester letting her voice be heard as she's arrested. ,2,56,Laura,1.0,Police seem to be performing as indicated here.,4,1,Jessica,3.0,Seems tame.,5,8,Brittany,1.0,Police arrest female.
58,9,keep,18,The detainee looks like he is resisting and so other officers have to come help?,28.5073772922,4.0,2.00382863102,17,Courtney,7.0,"Too much force, too many cops.",12,Rachel,6.0,there is a lot going on here ,46,Tiffany,5.0,It looks like there's way too many cops trying to tackle this black man. ,21,Brianna,7.0,resisting as police makes an arrest ,22,Amber,3.0,I'm annoyed by how many of these there are - this is wasting too much police time,39,Olivia,6.0,Police wrestle man to ground. ,0.774769352691,1.62442723062,2.09203881945,6,39,Olivia,6.0,Police wrestle man to ground. ,2,12,Rachel,6.0,there is a lot going on here ,4,21,Brianna,7.0,resisting as police makes an arrest ,1,17,Courtney,7.0,"Too much force, too many cops.",3,46,Tiffany,5.0,It looks like there's way too many cops trying to tackle this black man. ,5,22,Amber,3.0,I'm annoyed by how many of these there are - this is wasting too much police time
58,10,keep,19,The man looks like he is in pain. ,16.3705042309,6.0,1.69926472264,43,Sydney,7.0,demonstrator arrested,12,Rachel,7.0,he ooks like he is in agony ,26,Alexandra,4.0,"He looks unhappy, but what happened before this?",21,Brianna,7.0,Fighting for what is right but gets arrested,57,Miranda,9.0,This guy looks like he cant breathe,39,Olivia,5.0,Devastated look on man's eyes as he's arrested. ,0.726984593144,1.3268617143,1.96056301892,6,39,Olivia,5.0,Devastated look on man's eyes as he's arrested. ,5,57,Miranda,9.0,This guy looks like he cant breathe,4,21,Brianna,7.0,Fighting for what is right but gets arrested,1,43,Sydney,7.0,demonstrator arrested,2,12,Rachel,7.0,he ooks like he is in agony ,3,26,Alexandra,4.0,"He looks unhappy, but what happened before this?"
58,11,keep,8,What did he do? Is it neccesary to use that much force?,30.5637307841,4.0,2.04594613856,11,Kayla,8.0,Hatred.,3,Emily,1.0,The police look like they are just doing their job.,19,Nicole,7.0,Going to jail.,21,Brianna,6.0,A protestor getting arrested in a rally,57,Miranda,8.0,He looks disheartened and that's a lot of cops for one man,39,Olivia,6.0,Social injustice in effect.,0.855198544799,1.58871310781,1.98874589452,3,19,Nicole,7.0,Going to jail.,6,39,Olivia,6.0,Social injustice in effect.,5,57,Miranda,8.0,He looks disheartened and that's a lot of cops for one man,1,11,Kayla,8.0,Hatred.,2,3,Emily,1.0,The police look like they are just doing their job.,4,21,Brianna,6.0,A protestor getting arrested in a rally
58,12,keep,10,Would he not walk by himself? Is there a reason they have to carry him?,20.5128372753,7.0,3.43066696695,50,Jordan,1.0,A man is being carried by police,9,Amanda,2.0,People have to stop acting like they can do just anything that comes to mind.,19,Nicole,2.0,"Feel free to drag this criminal a little, he needs to learn his place.",58,Paige,6.0,There is no cause for carrying him like this. ,57,Miranda,8.0,Why do they have to carry him like that,39,Olivia,8.0,Four police unnecessarily dragging black man by all fours. ,1.05099985172,1.86788243544,3.6352191862,2,9,Amanda,2.0,People have to stop acting like they can do just anything that comes to mind.,4,58,Paige,6.0,There is no cause for carrying him like this. ,6,39,Olivia,8.0,Four police unnecessarily dragging black man by all fours. ,1,50,Jordan,1.0,A man is being carried by police,3,19,Nicole,2.0,"Feel free to drag this criminal a little, he needs to learn his place.",5,57,Miranda,8.0,Why do they have to carry him like that
58,13,keep,2,This looks tame.She just looks really pissed. ,12.9105846866,3.0,1.74656167318,52,Brooke,3.0,she looks sad,9,Amanda,2.0,"Sometimes it's easier to blame the Black people, fair or not.",45,Christina,2.0,People in the back are screaming at police I guess she went to far since she has been arrested.,58,Paige,6.0,"Yes, she done it and does not look to happy about it. ",48,Kelly,3.0,I feel upset because it looks like she didn't really do anything wrong. ,39,Olivia,5.0,Defeated look on a woman's face as she is arrested. ,0.828736828291,1.54556153633,2.02853811241,4,58,Paige,6.0,"Yes, she done it and does not look to happy about it. ",6,39,Olivia,5.0,Defeated look on a woman's face as she is arrested. ,1,52,Brooke,3.0,she looks sad,2,9,Amanda,2.0,"Sometimes it's easier to blame the Black people, fair or not.",3,45,Christina,2.0,People in the back are screaming at police I guess she went to far since she has been arrested.,5,48,Kelly,3.0,I feel upset because it looks like she didn't really do anything wrong. 
